Name [AGN type] (1)	RA (J2000) (2)	Dec (J2000) (3)	DL (Mpc) (4)	NUV (AB) (5)	Past SNe (6)
NGC 5236 (M83)	13:37:00.876	−29:51:56.02	4.9	-18.82	1923A, 1945B, 1950B, 1957D, 1968L, 1983N
NGC 5371 [LIN]	13:55:39.936	+40:27:41.90	33.0	-19.09	1994Y
NGC 5430	14:00:45.720	+59:19:42.24	47.0	-18.70	PTF10acbu (PSN)
NGC 5457 (M101)	14:03:12.600	+54:20:56.62	6.9	-19.36	1909A, 1951H, 1970G, 2011fe
NGC 5584	14:22:23.772	−00:23:15.32	25.0	-18.43	1996aq, 2007af
NGC 5668	14:33:24.300	+04:27:01.19	25.0	-18.72	1952G, 1954B, 2004G
NGC 5850 [LIN]	15:07:07.644	+01:32:40.74	38.0	-18.65	1987B
NGC 5962	15:36:31.680	+16:36:28.15	30.0	-18.68	2016afa, 2017ivu
NGC 6070	16:09:58.680	+00:42:34.31	27.0	-18.58	
NGC 6555	18:07:49.188	+17:36:17.53	35.0	-18.54	
ESO 182-G10c	18:18:30.600	−54:41:39.41	49.0	-19.00	2006ci
NGC 6744 [LIN]	19:09:45.900	−63:51:27.72	9.3	-19.05	2005at
NGC 6814 [S1.5]	19:42:40.608	−10:19:25.32	23.0	-18.61	
NGC 6946c, d	20:34:52.572	+60:09:13.57	6.1	-19.12	1980K, 2002hh, 2004et, 2008S, 2017eaw
NGC 6951 [S2]	20:37:14.088	+66:06:20.45	25.0	-18.66	1999el, 2000E, 2015G
NGC 7083	21:35:44.592	−63:54:09.79	34.0	-18.98	1983Y, 2009hm
NGC 7479 [S2]	23:04:56.676	+12:19:22.12	30.0	-18.96	1990U, 2009jf
NGC 7552	23:16:10.776	−42:35:03.41	29.0	-18.84	2017bzc
NGC 7714/7715a	23:36:14.112	+02:09:18.07	41.0	-19.18	1999dn, 2007fo
