Name	RA	DEC.	D	LEM	phase cal	Q	Beam	PA	rms	det	morph
NGC 697	01 51 17.568	+22 21 28.69	41.6	03	0152+2207	+	0.43 × 0.13	13.7	95	U	
NGC 777	02 00 14.90	+31 25 46.00	66.5	02	0205+3219	m	0.23 × 0.15	7.6	77	I	A
NGC 784	02 01 16.932	+28 50 14.13	4.7	03	0151+2744	+	0.48 × 0.22	−29.3	131	U	
NGC 812	02 06 51.497	+44 34 22.48	108.8	02	0204+4403	m	0.21 × 0.16	−76.5	79	U	
NGC 818	02 08 44.510	+38 46 38.11	59.4	02	0204+3649	m	0.21 × 0.17	54.9	72	U	
NGC 841	02 11 17.334	+37 29 49.96	59.5	02	0204+3649	m	0.21 × 0.18	50.3	81	U	
NGC 890	02 22 01.008	+33 15 57.94	53.4	02	0226+3421	m	0.22 × 0.18	42.1	75	U	
NGC 891	02 22 32.907	+42 20 53.95	9.6	02	0222+4302	m	0.20 × 0.17	65.6	64	unI	
NGC 925	02 27 16.913	+33 34 43.97	9.4	02	0226+3421	m	0.22 × 0.18	42.7	75	U	
NGC 959	02 32 23.945	+35 29 40.80	10.1	02	0226+3421	m	0.20 × 0.15	43.4	81	U	
NGC 972	02 34 13.34	+29:18:40.57	21.4	02	0237+2848	m	0.24 × 0.17	37.2	69	I	B
NGC 2273	06 50 08.663	+60 50 44.50	28.4	27	0707+6110	++	0.20 × 0.16	48.1	930	I	E
NGC 2342	07 09 18.089	+20 38 09.22	69.5	27	0700+1709	++	0.18 × 0.18	0.0	65	I	E
NGC 2268	07 14 17.441	+84 22 56.18	34.4	25	0702+8549	+	0.20 × 0.20	0.0	91	U	
UGC 3828	07 24 35.784	+57 58 02.98	46.8	27	0707+6110	++	0.19 × 0.16	50.3	71	I	C
NGC 2276	07 27 14.485	+85 45 16.20	36.8	25	0702+8549	+	0.20 × 0.20	0.0	110	U	
NGC 2300	07 32 20.486	+85 42 31.90	31.0	25	0702+8549	+	0.20 × 0.20	0.0	60	I	A
UGC 4028	07 50 49.918	+74 21 27.79	52.7	25	0749+7420	+	0.20 × 0.20	0.0	100	I	C
NGC 2500	08 01 53.225	+50 44 13.56	10.1	27	0808+4950	++	0.20 × 0.16	48.6	93	U	
NGC 2543	08 12 57.955	+36 15 16.23	32.9	27	0815+3635	++	0.24 × 0.16	35.0	77	U	
NGC 2537	08 13 14.643	+45 59 23.25	9.0	27	0806+4504	++	0.21 × 0.16	40.3	92	U	
NGC 2541	08 14 40.073	+49 03 41.18	10.6	27	0808+4950	++	0.20 × 0.16	48.9	87	U	
NGC 2639	08 43 38.093	+50 12 19.94	42.6	27	0849+5108	++	0.20 × 0.19	68.0	130	I	C
NGC 2634	08 48 25.433	+73 58 01.62	30.2	25	0930+7420	+	0.20 × 0.20	0.0	82	I	A
NGC 2681	08 53 32.739	+51 18 49.35	13.3	27	0849+5108	++	0.19 × 0.16	51.8	920	I	C
IC 520	08 53 42.275	+73 29 27.32	47.0	25	0930+7420	+	0.20 × 0.20	0.0	102	U	
NGC 2655	08 55 37.731	+78 13 23.10	24.4	25	0919+7825	+	0.20 × 0.20	0.0	120	I	E
NGC 2715	09 08 06.196	+78 05 06.57	20.4	25	0919+7825	+	0.20 × 0.20	0.0	93	U	
NGC 2748	09 13 43.037	+76 28 31.23	23.8	25	0930+7420	+	0.20 × 0.20	0.0	90	U	
NGC 2841	09 22 02.655	+50 58 35.32	12.0	27	0929+5013	++	0.19 × 0.16	52.7	74	I	C
NGC 3184	10 18 16.985	+41 25 27.77	8.7	17	1020+4320	++	0.34 × 0.28	32.4	108	U	
NGC 3198	10 19 54.990	+45 32 58.88	10.8	17	1020+4320	++	0.20 × 0.20	0.00	114	I	A
NGC 3294	10 36 16.267	+37 19 28.52	26.7	17	1033+3935	++	0.37 × 0.29	−56.4	119	U	
NGC 3319	10 39 09.533	+41 41 12.74	11.5	17	1033+3935	++	0.45 × 0.33	−49.0	98	U	
NGC 3414	10 51 16.242	+27 58 29.88	23.9	17	1102+2757	++	0.22 × 0.14	20.60	60	I	C
NGC 3430	10 52 11.415	+32 57 01.53	26.7	17	1050+3430	++	0.20 × 0.20	0.0	100	I	E
NGC 3432	10 52 31.132	+36 37 07.60	7.8	17	1050+3430	++	0.47 × 0.28	−16.7	110	I	A
NGC 3583	11 14 10.979	+48 19 06.16	34.0	18	1110+4817	++	0.17 × 0.13	−59.4	79	U	
NGC 3600	11 15 51.980	+41 35 28.96	10.5	18	1110+4403	++	0.17 × 0.14	−55.8	77	U	
NGC 3652	11 22 39.056	+37 45 54.14	33.5	17	1130+3815	++	0.20 × 0.20	0.0	89	U	
NGC 3665	11 24 43.630	+38 45 46.05	32.4	17	1130+3815	++	0.20 × 0.20	0.0	61	I	B
NGC 3675	11 26 08.584	+43 35 09.30	12.8	18	1110+4403	++	0.17 × 0.14	−63.3	80	I	A
NGC 3726	11 33 21.174	+47 01 44.73	17.0	18	1138+4745	++	0.18 × 0.13	−59.0	63	U	
NGC 3877	11 46 07.782	+47 29 40.20	91.6	18	1138+4745	++	0.18 × 0.13	−54.7	66	U	
NGC 3893	11 48 38.207	+48 42 38.84	17.0	18	1153+4931	++	0.18 × 0.13	−59.4	58	U	
NGC 3938	11 52 49.453	+44 07 14.63	17.0	18	1155+4555	++	0.19 × 0.14	−54.2	74	I	A
NGC 3949	11 53 41.748	+47 51 31.62	17.0	18	1153+4931	++	0.18 × 0.13	−56.5	71	U	
NGC 4013	11 58 31.417	+43 56 49.28	17.0	18	1155+4555	++	0.19 × 0.14	−56.4	70	unI	
NGC 4051	12 03 09.686	+44 31 52.54	17.0	18	1155+4555	++	0.18 × 0.14	−58.6	71	I	C
NGC 4914	13 00 42.967	+37 18 55.20	62.4	10	1308+3546	++	0.21 × 0.19	28.4	71	U	
NGC 5005	13 10 56.312	+37 03 32.19	21.3	10	1308+3546	++	0.21 × 0.19	27.0	93	I	D
NGC 5055	13 15 49.329	+42 01 45.44	7.2	10	1324+4048	++	0.20 × 0.19	68.1	84	U	
NGC 5112	13 21 56.503	+38 44 04.23	20.5	10	1324+4048	++	0.20 × 0.19	34.4	104	U	
NGC 5194	13 29 52.698	+47 11 42.93	7.7	10	1335+4542	++	0.18 × 0.17	82.7	101	I	D
NGC 5195	13 29 59.590	+47 15 58.06	9.3	10	1335+4542	++	0.20 × 0.18	82.8	80	I	C
NGC 5273	13 42 08.386	+35 39 15.26	21.3	09	1340+3754	m	0.25 × 0.17	32.4	57	unI	
NGC 5297	13 46 23.694	+43 52 19.34	37.8	10	1335+4542	++	0.20 × 0.19	85.9	102	U	
NGC 5353	13 53 26.741	+40 16 59.24	37.8	09	1405+4056	m	0.18 × 0.14	29.6	180	I	A
NGC 5371	13 55 40.023	+40 27 42.37	37.8	09	1405+4056	m	0.20 × 0.15	35.0	80	U	
NGC 5377	13 56 16.670	+47 14 08.03	31.0	10	1358+4737	++	0.20 × 0.18	−86.5	91	I	C
NGC 5383	13 57 04.980	+41 50 45.60	37.8	09	1405+4056	m	0.20 × 0.15	35.0	85	U	
NGC 5395	13 58 37.939	+37 25 28.49	46.7	09	1340+3754	m	0.23 × 0.15	30.8	77	U	
NGC 5448	14 02 50.072	+49 10 21.53	32.6	10	1358+4737	++	0.19 × 0.18	−86.6	86	I	C
NGC 5523	14 14 52.310	+25 19 03.41	21.5	09	1419+2706	m	0.26 × 0.14	26.5	79	U	
NGC 5557	14 18 25.708	+36 29 37.28	42.6	09	1426+3625	m	0.24 × 0.15	30.6	90	U	
NGC 5660	14 29 49.801	+49 37 21.40	37.2	07	1439+4958	++	0.29 × 0.17	13.4	77	U	
NGC 5656	14 30 25.514	+35 19 15.98	42.6	09	1426+3625	m	0.23 × 0.15	29.6	86	U	
NGC 5676	14 32 46.853	+49 27 28.11	34.5	07	1439+4958	++	0.35 × 0.19	23.2	85	unI	
NGC 5866	15 06 29.561	+55 45 47.91	15.3	07	1510+5702	++	0.18 × 0.18	0.0	97	I	D
NGC 5879	15 09 46.751	+57 00 00.76	16.8	07	1510+5702	++	0.18 × 0.18	0.0	71	I	A
NGC 5905	15 15 23.324	+55 31 01.59	44.4	07	1510+5702	++	0.28 × 0.19	18.6	75	U	
NGC 5907	15 15 53.687	+56 19 43.86	14.9	07	1510+5702	++	0.28 × 0.19	18.6	90	unI	
NGC 5982	15 38 39.778	+59 21 21.21	38.7	07	1559+5924	++	0.26 × 0.19	20.2	78	U	
NGC 5985	15 39 37.090	+59 19 55.02	39.2	07	1559+5924	++	0.26 × 0.19	22.1	57	I	D
NGC 6015	15 51 25.232	+62 18 36.11	17.5	07	1559+5924	++	0.23 × 0.18	25.4	67	unI	
NGC 6140	16 20 58.162	+65 23 25.98	18.6	07	1623+6624	++	0.23 × 0.18	23.2	75	U	
NGC 6702	18 46 57.576	+45 42 20.56	62.8	05	1852+4855	m	0.19 × 0.16	56.7	74	I	C
NGC 6703	18 47 18.845	+45 33 02.33	35.9	05	1852+4855	m	0.19 × 0.15	53.6	66	I	A
NGC 6946	20 34 52.332	+60 09 13.24	5.5	05	2010+6116	m	0.19 × 0.15	−84.1	57	I	E
NGC 6951	20 37 14.118	+66 06 20.02	24.1	05	2015+6554	m	0.20 × 0.15	88.5	55	I	C
NGC 7217	22 07 52.368	+31 21 33.32	16.0	05	2217+3156	m	0.18 × 0.18	0.0	75	I	C
NGC 7331	22 37 04.102	+34 24 57.31	14.3	05	2253+3236	m	0.15 × 0.15	0.0	81	U	
NGC 7332	22 37 24.522	+23 47 54.06	18.2	05	2238+2749	m	0.15 × 0.15	0.0	86	U	
NGC 7457	23 00 59.934	+30 08 41.61	12.3	05	2253+3236	m	0.15 × 0.15	0.0	92	U	
NGC 7640	23 22 06.584	+40 50 43.54	8.6	05	2312+3847	m	0.15 × 0.15	0.0	81	U	
NGC 7741	23 43 54.375	+26 04 32.07	12.3	04	2343+2339	++	0.19 × 0.14	36.0	70	U	
NGC 7798	23 59 25.503	+20 44 59.59	32.6	04	0004+2019	++	0.20 × 0.14	35.9	31	I	C
